t,x,y,z,vx_b,vy_b,vz_b,phi,theta,psi,p,q,r,ax_b,ay_b,az_b,cmd_roll,cmd_pitch,cmd_yaw,cmd_thrust,phase_tag,regime_id
0.00000,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000266,-0.310698,-3.140460,0.000000,0.000000,-0.000000,-2.99915,-0.00248,-9.34030,0.000228,0.267025,0.000000,1.000000,settle,P0
0.01154,-0.00047,0.00007,0.02055,0.08109,0.00024,-0.29644,-0.000266,-0.310698,-3.140460,0.001671,-0.756116,-0.000165,137.83957,0.30070,-1126.43176,0.000130,0.310348,0.000019,1.000000,settle,P0
0.02235,-0.00469,0.00007,0.01450,0.13177,0.00023,-0.80686,-0.000349,-0.292893,-3.140440,0.003551,-0.926300,-0.000029,137.83957,0.30070,-1126.43176,0.000091,0.304796,-0.000031,1.000000,settle,P0
0.03319,-0.00469,0.00007,0.01450,0.13177,0.00023,-0.80686,-0.000349,-0.292893,-3.140440,0.003551,-0.926300,-0.000029,0.98012,0.00200,-58.99808,0.000091,0.304796,-0.000031,1.000000,settle,P0
0.04417,-0.01551,0.00007,-0.00942,0.19602,0.00009,-1.44957,-0.000278,-0.272098,-3.140447,0.002207,-0.848133,0.000004,0.09020,0.00056,-50.44036,0.000110,0.282446,-0.000023,1.000000,settle,P0
0.05469,-0.01551,0.00007,-0.00942,0.19602,0.00009,-1.44957,-0.000278,-0.272098,-3.140447,0.002207,-0.848133,0.000004,0.09020,0.00056,-50.44036,0.000110,0.282446,-0.000023,1.000000,settle,P0
0.06503,-0.01551,0.00007,-0.00942,0.19602,0.00009,-1.44957,-0.000278,-0.272098,-3.140447,0.002207,-0.848133,0.000004,0.09020,0.00056,-50.44036,0.000110,0.282446,-0.000023,1.000000,settle,P0
0.07577,-0.01551,0.00007,-0.00942,0.19602,0.00009,-1.44957,-0.000278,-0.272098,-3.140447,0.002207,-0.848133,0.000004,0.09020,0.00056,-50.44036,0.000110,0.282446,-0.000023,1.000000,settle,P0
0.08624,-0.02055,0.00007,-0.02163,0.28702,-0.00014,-3.22125,-0.000267,-0.266345,-3.140449,0.000029,-0.593532,0.000005,133.00940,0.14761,-4028.75757,0.000228,0.262913,-0.000020,1.000000,settle,P0
0.09697,-0.05703,0.00007,-0.11813,0.39848,-0.00025,-4.00190,-0.000255,-0.243582,-3.140455,-0.000002,-0.573808,-0.000016,0.82542,0.00055,-71.54692,0.000220,0.242220,-0.000007,1.000000,settle,P0
0.10774,-0.09125,0.00007,-0.21550,0.49222,-0.00032,-4.77166,-0.000253,-0.230116,-3.140459,0.000148,-0.571578,-0.000029,0.05411,-0.00012,-56.91253,0.000209,0.230519,0.000001,1.000000,settle,P0
0.11845,-0.09125,0.00007,-0.21550,0.49222,-0.00032,-4.77166,-0.000253,-0.230116,-3.140459,0.000148,-0.571578,-0.000029,0.05411,-0.00012,-56.91253,0.000209,0.230519,0.000001,1.000000,settle,P0
0.12923,-0.09125,0.00007,-0.21550,0.49222,-0.00032,-4.77166,-0.000253,-0.230116,-3.140459,0.000148,-0.571578,-0.000029,0.05411,-0.00012,-56.91253,0.000209,0.230519,0.000001,1.000000,settle,P0
0.13962,-0.09125,0.00007,-0.21550,0.49222,-0.00032,-4.77166,-0.000253,-0.230116,-3.140459,0.000148,-0.571578,-0.000029,123.67407,0.15333,-4202.41895,0.000209,0.230519,0.000001,1.000000,settle,P0
0.15009,-0.10363,0.00007,-0.25178,0.58292,-0.00041,-6.59702,-0.000251,-0.225980,-3.140460,0.000534,-0.508228,-0.000025,123.67407,0.15333,-4202.41895,0.000184,0.223335,0.000003,0.914830,settle,P0
0.16070,-0.10363,0.00007,-0.25178,0.58292,-0.00041,-6.59702,-0.000251,-0.225980,-3.140460,0.000534,-0.508228,-0.000025,79.73898,0.08932,-2001.06873,0.000184,0.223335,0.000003,0.914830,settle,P0
0.17102,-0.21121,0.00007,-0.58383,0.81643,-0.00065,-7.71865,-0.000223,-0.199008,-3.140468,0.000584,-0.509099,-0.000006,0.63992,0.00076,-66.92225,0.000157,0.200204,0.000014,0.823965,settle,P0
0.18166,-0.22789,0.00007,-0.63746,0.85847,-0.00069,-8.04179,-0.000218,-0.195425,-3.140469,0.000579,-0.516029,-0.000001,0.08545,0.00013,-54.72681,0.000154,0.197522,0.000015,0.802252,settle,P0
0.19198,-0.22789,0.00007,-0.63746,0.85847,-0.00069,-8.04179,-0.000218,-0.195425,-3.140469,0.000579,-0.516029,-0.000001,0.08545,0.00013,-54.72681,0.000154,0.197522,0.000015,0.802252,settle,P0
0.20222,-0.22789,0.00007,-0.63746,0.85847,-0.00069,-8.04179,-0.000218,-0.195425,-3.140469,0.000579,-0.516029,-0.000001,0.08545,0.00013,-54.72681,0.000154,0.197522,0.000015,0.802252,settle,P0
0.21288,-0.24602,0.00007,-0.69626,0.94954,-0.00079,-9.41123,-0.000214,-0.191595,-3.140470,0.000474,-0.529667,0.000027,108.32269,0.12882,-2667.28711,0.000156,0.195012,0.000013,0.727697,settle,P0
0.22336,-0.24602,0.00007,-0.69626,0.94954,-0.00079,-9.41123,-0.000214,-0.191595,-3.140470,0.000474,-0.529667,0.000027,108.32269,0.12882,-2667.28711,0.000156,0.195012,0.000013,0.727697,settle,P0
0.23417,-0.38918,0.00007,-1.17247,1.25329,-0.00107,-10.02261,-0.000188,-0.163927,-3.140474,0.000437,-0.521107,0.000036,0.41618,0.00052,-38.70872,0.000136,0.170742,0.000019,0.648169,settle,P0
0.24458,-0.38918,0.00007,-1.17247,1.25329,-0.00107,-10.02261,-0.000188,-0.163927,-3.140474,0.000437,-0.521107,0.000036,0.00299,0.00006,-31.99404,0.000136,0.170742,0.000019,0.648169,settle,P0
0.25514,-0.40937,0.00007,-1.24079,1.30049,-0.00111,-10.17619,-0.000185,-0.160326,-3.140474,0.000437,-0.518487,0.000037,0.00299,0.00006,-31.99404,0.000133,0.167497,0.000020,0.633500,settle,P0
0.26565,-0.40937,0.00007,-1.24079,1.30049,-0.00111,-10.17619,-0.000185,-0.160326,-3.140474,0.000437,-0.518487,0.000037,0.00299,0.00006,-31.99404,0.000133,0.167497,0.000020,0.633500,settle,P0
0.27626,-0.43059,0.00007,-1.31275,1.38721,-0.00118,-10.74699,-0.000182,-0.156613,-3.140474,0.000381,-0.434733,0.000039,95.69095,0.12526,-1003.83392,0.000134,0.159507,0.000020,0.597604,settle,P0
0.28675,-0.43059,0.00007,-1.31275,1.38721,-0.00118,-10.74699,-0.000182,-0.156613,-3.140474,0.000381,-0.434733,0.000039,95.69095,0.12526,-1003.83392,0.000134,0.159507,0.000020,0.597604,settle,P0
0.29763,-0.43059,0.00007,-1.31275,1.38721,-0.00118,-10.74699,-0.000182,-0.156613,-3.140474,0.000381,-0.434733,0.000039,0.23656,0.00045,-21.17266,0.000134,0.159507,0.000020,0.597604,settle,P0
0.30795,-0.59078,0.00007,-1.85946,1.66792,-0.00142,-10.95608,-0.000161,-0.133365,-3.140477,0.000369,-0.417000,0.000043,-0.13306,-0.00002,-18.41614,0.000117,0.138511,0.000023,0.531569,settle,P0
0.31858,-0.61250,0.00007,-1.93376,1.70781,-0.00146,-11.01395,-0.000159,-0.130477,-3.140477,0.000370,-0.415880,0.000043,-0.13306,-0.00002,-18.41614,0.000115,0.135965,0.000023,0.521144,settle,P0
0.32926,-0.61250,0.00007,-1.93376,1.70781,-0.00146,-11.01395,-0.000159,-0.130477,-3.140477,0.000370,-0.415880,0.000043,-0.13306,-0.00002,-18.41614,0.000115,0.135965,0.000023,0.521144,settle,P0
0.33979,-0.61250,0.00007,-1.93376,1.70781,-0.00146,-11.01395,-0.000159,-0.130477,-3.140477,0.000370,-0.415880,0.000043,-0.13306,-0.00002,-18.41614,0.000115,0.135965,0.000023,0.521144,settle,P0
0.35074,-0.63523,0.00007,-2.01158,1.77898,-0.00151,-11.19209,-0.000156,-0.127470,-3.140477,0.000310,-0.346901,0.000049,109.28369,0.16012,-321.01019,0.000116,0.129428,0.000023,0.504350,settle,P0
0.36124,-0.74988,0.00007,-2.40325,1.93922,-0.00166,-11.20456,-0.000144,-0.114439,-3.140477,0.000308,-0.340346,0.000051,48.70257,0.07343,-122.79836,0.000106,0.117854,0.000023,0.464137,settle,P0
0.37169,-0.82453,0.00007,-2.65688,2.04047,-0.00175,-11.22204,-0.000137,-0.106594,-3.140477,0.000313,-0.335981,0.000052,0.00361,0.00028,-12.21462,0.000099,0.110861,0.000023,0.437667,settle,P0
0.38217,-0.82453,0.00007,-2.65688,2.04047,-0.00175,-11.22204,-0.000137,-0.106594,-3.140477,0.000313,-0.335981,0.000052,-0.23100,-0.00006,-11.93555,0.000099,0.110861,0.000023,0.437667,settle,P0
0.39252,-0.82453,0.00007,-2.65688,2.04047,-0.00175,-11.22204,-0.000137,-0.106594,-3.140477,0.000313,-0.335981,0.000052,-0.23100,-0.00006,-11.93555,0.000099,0.110861,0.000023,0.437667,settle,P0
0.40288,-0.82453,0.00007,-2.65688,2.04047,-0.00175,-11.22204,-0.000137,-0.106594,-3.140477,0.000313,-0.335981,0.000052,-0.23100,-0.00006,-11.93555,0.000099,0.110861,0.000023,0.437667,settle,P0
0.41385,-0.84875,0.00007,-2.73900,2.09597,-0.00179,-11.16434,-0.000135,-0.104176,-3.140477,0.000262,-0.280679,0.000051,68.92250,0.11840,239.34035,0.000100,0.105615,0.000023,0.432273,settle,P0
0.42422,-0.84875,0.00007,-2.73900,2.09597,-0.00179,-11.16434,-0.000135,-0.104176,-3.140477,0.000262,-0.280679,0.000051,34.37631,0.06264,112.52451,0.000100,0.105615,0.000023,0.432273,settle,P0
0.43490,-0.96520,0.00007,-3.13064,2.22192,-0.00191,-11.10512,-0.000125,-0.093828,-3.140477,0.000263,-0.277347,0.000050,-0.09706,0.00028,-7.40726,0.000092,0.096530,0.000022,0.395796,settle,P0
