t,x,y,z,vx_b,vy_b,vz_b,phi,theta,psi,p,q,r,ax_b,ay_b,az_b,cmd_roll,cmd_pitch,cmd_yaw,cmd_thrust,phase_tag,regime_id
0.00000,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000254,-0.310700,-3.140533,0.000000,0.000000,-0.000000,-2.99917,-0.00237,-9.34029,0.000218,-0.032973,0.000000,1.000000,settle,P1
0.01098,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000254,-0.310700,-3.140533,0.000000,0.000000,-0.000000,-2.99917,-0.00237,-9.34029,0.000218,-0.032973,0.000000,1.000000,settle,P1
0.02148,-0.00047,0.00007,0.02055,0.02496,-0.00003,-0.00565,-0.000254,-0.310700,-3.140533,0.000094,0.015556,-0.000000,128.69632,0.09709,-39.14282,0.000213,-0.033864,0.000000,1.000000,settle,P1
0.03188,-0.00047,0.00007,0.02055,0.02496,-0.00003,-0.00565,-0.000254,-0.310700,-3.140533,0.000094,0.015556,-0.000000,0.67526,0.00062,-21.66828,0.000213,-0.033864,0.000000,1.000000,settle,P1
0.04264,-0.00223,0.00007,0.01871,0.07064,-0.00013,-0.21664,-0.000261,-0.311669,-3.140454,0.000436,0.068148,-0.000000,-0.20763,-0.00008,-26.49064,0.000199,-0.036045,-0.000136,1.000000,settle,P1
0.05334,-0.00223,0.00007,0.01871,0.07064,-0.00013,-0.21664,-0.000261,-0.311669,-3.140454,0.000436,0.068148,-0.000000,-0.20763,-0.00008,-26.49064,0.000199,-0.036045,-0.000136,1.000000,settle,P1
0.06397,-0.00223,0.00007,0.01871,0.07064,-0.00013,-0.21664,-0.000261,-0.311669,-3.140454,0.000436,0.068148,-0.000000,-0.20763,-0.00008,-26.49064,0.000199,-0.036045,-0.000136,1.000000,settle,P1
0.07447,-0.00223,0.00007,0.01871,0.07064,-0.00013,-0.21664,-0.000261,-0.311669,-3.140454,0.000436,0.068148,-0.000000,302.07959,0.16169,-4431.68213,0.000199,-0.036045,-0.000136,1.000000,settle,P1
0.08505,-0.00379,0.00007,0.01607,0.18013,-0.00054,-1.55010,-0.000257,-0.312311,-3.140454,0.000545,0.095120,-0.000120,302.07959,0.16169,-4431.68213,0.000189,-0.037038,-0.000122,1.000000,settle,P1
0.09571,-0.03937,0.00007,-0.06270,0.24316,-0.00097,-2.71363,-0.000228,-0.317125,-3.140459,0.000426,0.078615,-0.000242,-0.24685,0.00002,-56.77287,0.000171,-0.031955,-0.000098,1.000000,settle,P1
