t_s,u_b,v_b,w_b,p,q_raw,r,phi,theta,psi,x_ned,y_ned,z_ned,cmd_p,cmd_q,cmd_r,cmd_thrust
0.011481,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000266,-0.310693,-3.140497,-0.0005,0.0001,0.0205,0.000228,0.267021,-0.001884,0.600000
0.022603,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000266,-0.310693,-3.140497,-0.0005,0.0001,0.0205,0.000228,0.267021,-0.001884,0.600000
0.033374,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000266,-0.310693,-3.140497,-0.0005,0.0001,0.0205,0.000228,0.267021,-0.001884,0.600000
0.043874,0.004633,0.000509,0.006410,-0.010831,-0.012170,-0.001479,-0.000343,-0.310603,-3.140490,-0.0005,0.0000,0.0206,0.000306,0.266956,-0.001892,0.600000
0.054752,0.004633,0.000509,0.006410,-0.010831,-0.012170,-0.001479,-0.000343,-0.310603,-3.140490,-0.0005,0.0000,0.0206,0.000306,0.266956,-0.001892,0.600000
0.065089,0.095582,0.000286,-0.214503,0.002898,-1.004604,-0.002999,-0.000368,-0.310555,-3.140496,-0.0006,0.0000,0.0206,0.000313,0.267907,-0.001879,0.600000
0.075878,0.095582,0.000286,-0.214503,0.002898,-1.004604,-0.002999,-0.000368,-0.310555,-3.140496,-0.0006,0.0000,0.0206,0.000313,0.267907,-0.001879,0.600000
0.086553,0.144647,0.000192,-0.448274,0.000764,-0.835577,-0.004663,-0.000230,-0.283172,-3.140571,-0.0048,0.0000,0.0163,0.000197,0.244204,-0.001746,0.600000
0.097013,0.194445,0.000132,-0.734817,0.000221,-0.644985,-0.005382,-0.000187,-0.266106,-3.140697,-0.0123,0.0000,0.0042,0.000160,0.229346,-0.001528,0.600000
0.107622,0.194445,0.000132,-0.734817,0.000221,-0.644985,-0.005382,-0.000187,-0.266106,-3.140697,-0.0123,0.0000,0.0042,0.000160,0.229346,-0.001528,0.600000
0.118383,0.194445,0.000132,-0.734817,0.000221,-0.644985,-0.005382,-0.000187,-0.266106,-3.140697,-0.0123,0.0000,0.0042,0.000160,0.229346,-0.001528,0.600000
0.128755,0.194445,0.000132,-0.734817,0.000221,-0.644985,-0.005382,-0.000187,-0.266106,-3.140697,-0.0123,0.0000,0.0042,0.000160,0.229346,-0.001528,0.600000
0.139410,0.284927,-0.000029,-1.557306,0.000519,-0.553637,-0.004143,-0.000173,-0.261762,-3.140740,-0.0155,0.0000,-0.0018,0.000148,0.225521,-0.001457,0.600000
