t_s,u_b,v_b,w_b,p,q_raw,r,phi,theta,psi,x_ned,y_ned,z_ned,cmd_p,cmd_q,cmd_r,cmd_thrust
0.010614,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000266,-0.310690,-3.140509,-0.0005,0.0001,0.0205,0.000229,0.267018,-0.001863,0.265000
0.021452,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000266,-0.310690,-3.140509,-0.0005,0.0001,0.0205,0.000229,0.267018,-0.001863,0.265000
0.032103,0.000794,-0.000050,0.000567,0.000683,-0.007797,0.000321,-0.000266,-0.310690,-3.140509,-0.0005,0.0001,0.0205,0.000228,0.267026,-0.001864,0.265000
0.042829,0.020347,0.000111,-0.017572,-0.002329,-0.218257,0.000346,-0.000367,-0.308432,-3.140356,-0.0008,0.0001,0.0205,0.000318,0.265296,-0.002127,0.265000
0.055116,0.027393,0.000217,-0.028456,-0.002365,-0.341400,0.000253,-0.000372,-0.306161,-3.140335,-0.0011,0.0001,0.0204,0.000322,0.263468,-0.002162,0.265000
0.065394,0.027393,0.000217,-0.028456,-0.002365,-0.341400,0.000253,-0.000372,-0.306161,-3.140335,-0.0011,0.0001,0.0204,0.000322,0.263468,-0.002162,0.265000
0.075954,0.027393,0.000217,-0.028456,-0.002365,-0.341400,0.000253,-0.000372,-0.306161,-3.140335,-0.0011,0.0001,0.0204,0.000322,0.263468,-0.002162,0.265000
0.086271,0.027393,0.000217,-0.028456,-0.002365,-0.341400,0.000253,-0.000372,-0.306161,-3.140335,-0.0011,0.0001,0.0204,0.000322,0.263468,-0.002162,0.265000
0.097052,0.083436,0.001658,-0.076072,-0.000307,-0.817484,-0.000211,-0.000374,-0.302918,-3.140316,-0.0014,0.0001,0.0202,0.000322,0.261156,-0.002194,0.265000
0.107562,0.083436,0.001658,-0.076072,-0.000307,-0.817484,-0.000211,-0.000374,-0.302918,-3.140316,-0.0014,0.0001,0.0202,0.000322,0.261156,-0.002194,0.265000
0.118020,0.140031,0.004000,-0.080638,-0.001056,-0.855537,-0.001445,-0.000319,-0.262881,-3.140323,-0.0069,-0.0000,0.0178,0.000275,0.226785,-0.002179,0.265000
0.129013,0.157349,0.004775,-0.080301,-0.002567,-0.839690,-0.002536,-0.000309,-0.257172,-3.140333,-0.0081,-0.0001,0.0176,0.000268,0.221863,-0.002160,0.265000
0.139467,0.157349,0.004775,-0.080301,-0.002567,-0.839690,-0.002536,-0.000309,-0.257172,-3.140333,-0.0081,-0.0001,0.0176,0.000268,0.221863,-0.002160,0.265000
0.150139,0.157349,0.004775,-0.080301,-0.002567,-0.839690,-0.002536,-0.000309,-0.257172,-3.140333,-0.0081,-0.0001,0.0176,0.000268,0.221863,-0.002160,0.265000
0.160761,0.243882,0.004964,-0.080758,0.004672,-0.604300,-0.007600,-0.000302,-0.251144,-3.140365,-0.0095,-0.0001,0.0173,0.000254,0.216447,-0.002095,0.265000
0.171427,0.243882,0.004964,-0.080758,0.004672,-0.604300,-0.007600,-0.000302,-0.251144,-3.140365,-0.0095,-0.0001,0.0173,0.000254,0.216447,-0.002095,0.265000
0.182129,0.298884,0.004961,-0.074703,0.001413,-0.570723,-0.006394,-0.000021,-0.218145,-3.140741,-0.0230,-0.0004,0.0164,0.000017,0.188052,-0.001451,0.265000
0.192614,0.298884,0.004961,-0.074703,0.001413,-0.570723,-0.006394,-0.000021,-0.218145,-3.140741,-0.0230,-0.0004,0.0164,0.000017,0.188052,-0.001451,0.265000
0.203665,0.313894,0.004950,-0.074316,0.000966,-0.574365,-0.005802,-0.000006,-0.214156,-3.140783,-0.0253,-0.0004,0.0164,0.000004,0.184628,-0.001381,0.265000
0.214212,0.313894,0.004950,-0.074316,0.000966,-0.574365,-0.005802,-0.000006,-0.214156,-3.140783,-0.0253,-0.0004,0.0164,0.000004,0.184628,-0.001381,0.265000
0.224969,0.386404,0.004846,-0.077778,0.000596,-0.507771,-0.002750,0.000008,-0.209975,-3.140821,-0.0277,-0.0005,0.0163,-0.000007,0.180968,-0.001321,0.265000
0.235864,0.416584,0.004847,-0.072232,0.000664,-0.493162,-0.002144,0.000054,-0.191025,-3.140944,-0.0414,-0.0007,0.0164,-0.000047,0.164667,-0.001111,0.265000
0.246298,0.416584,0.004847,-0.072232,0.000664,-0.493162,-0.002144,0.000054,-0.191025,-3.140944,-0.0414,-0.0007,0.0164,-0.000047,0.164667,-0.001111,0.265000
