t_s,u_b,v_b,w_b,p,q_raw,r,phi,theta,psi,x_ned,y_ned,z_ned,cmd_p,cmd_q,cmd_r,cmd_thrust
0.010620,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000251,-0.310719,-3.140524,-0.0005,0.0001,0.0205,0.000215,0.267043,-0.001836,0.265000
0.021142,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000251,-0.310719,-3.140524,-0.0005,0.0001,0.0205,0.000215,0.267043,-0.001836,0.265000
0.031921,-0.000346,0.000402,0.005331,-0.008448,-0.009660,-0.000204,-0.000251,-0.310719,-3.140524,-0.0005,0.0001,0.0205,0.000224,0.267053,-0.001836,0.265000
0.042562,-0.000977,0.000274,0.001052,-0.004673,-0.016942,0.000305,-0.000329,-0.310666,-3.140547,-0.0005,0.0001,0.0206,0.000287,0.267015,-0.001797,0.265000
0.053470,-0.000977,0.000274,0.001052,-0.004673,-0.016942,0.000305,-0.000329,-0.310666,-3.140547,-0.0005,0.0001,0.0206,0.000287,0.267015,-0.001797,0.265000
0.064428,-0.000977,0.000274,0.001052,-0.004673,-0.016942,0.000305,-0.000329,-0.310666,-3.140547,-0.0005,0.0001,0.0206,0.000287,0.267015,-0.001797,0.265000
0.075048,-0.000977,0.000274,0.001052,-0.004673,-0.016942,0.000305,-0.000329,-0.310666,-3.140547,-0.0005,0.0001,0.0206,0.000287,0.267015,-0.001797,0.265000
0.085582,-0.000977,0.000274,0.001052,-0.004673,-0.016942,0.000305,-0.000329,-0.310666,-3.140547,-0.0005,0.0001,0.0206,0.000287,0.267015,-0.001797,0.265000
0.096073,-0.000977,0.000274,0.001052,-0.004673,-0.016942,0.000305,-0.000329,-0.310666,-3.140547,-0.0005,0.0001,0.0206,0.000287,0.267015,-0.001797,0.265000
0.106787,-0.000977,0.000274,0.001052,-0.004673,-0.016942,0.000305,-0.000329,-0.310666,-3.140547,-0.0005,0.0001,0.0206,0.000287,0.267015,-0.001797,0.265000
0.117143,-0.000977,0.000274,0.001052,-0.004673,-0.016942,0.000305,-0.000329,-0.310666,-3.140547,-0.0005,0.0001,0.0206,0.000287,0.267015,-0.001797,0.265000
0.128047,-0.000977,0.000274,0.001052,-0.004673,-0.016942,0.000305,-0.000329,-0.310666,-3.140547,-0.0005,0.0001,0.0206,0.000287,0.267015,-0.001797,0.265000
0.138758,-0.000977,0.000274,0.001052,-0.004673,-0.016942,0.000305,-0.000329,-0.310666,-3.140547,-0.0005,0.0001,0.0206,0.000287,0.267015,-0.001797,0.265000
0.149527,0.151314,0.004534,-0.089702,0.002383,-0.854241,-0.001838,-0.000358,-0.310599,-3.140528,-0.0005,0.0001,0.0206,0.000305,0.267794,-0.001826,0.265000
0.160331,0.151314,0.004534,-0.089702,0.002383,-0.854241,-0.001838,-0.000358,-0.310599,-3.140528,-0.0005,0.0001,0.0206,0.000305,0.267794,-0.001826,0.265000
0.170924,0.206969,0.004928,-0.080813,0.004750,-0.775694,-0.005063,-0.000272,-0.250047,-3.140456,-0.0095,-0.0001,0.0172,0.000229,0.215676,-0.001944,0.265000
0.181328,0.239600,0.004913,-0.077143,0.004631,-0.729527,-0.006125,-0.000149,-0.229913,-3.140597,-0.0156,-0.0003,0.0165,0.000123,0.198325,-0.001699,0.265000
0.192114,0.239600,0.004913,-0.077143,0.004631,-0.729527,-0.006125,-0.000149,-0.229913,-3.140597,-0.0156,-0.0003,0.0165,0.000123,0.198325,-0.001699,0.265000
0.202622,0.239600,0.004913,-0.077143,0.004631,-0.729527,-0.006125,-0.000149,-0.229913,-3.140597,-0.0156,-0.0003,0.0165,0.000123,0.198325,-0.001699,0.265000
0.213362,0.312668,0.004818,-0.079402,0.000788,-0.534769,-0.004923,-0.000112,-0.224948,-3.140643,-0.0174,-0.0003,0.0164,0.000095,0.193863,-0.001623,0.265000
0.223854,0.312668,0.004818,-0.079402,0.000788,-0.534769,-0.004923,-0.000112,-0.224948,-3.140643,-0.0174,-0.0003,0.0164,0.000095,0.193863,-0.001623,0.265000
0.234343,0.360772,0.004827,-0.073042,0.000624,-0.514266,-0.003430,-0.000001,-0.197204,-3.140890,-0.0337,-0.0006,0.0160,0.000001,0.169999,-0.001201,0.265000
0.245203,0.360772,0.004827,-0.073042,0.000624,-0.514266,-0.003430,-0.000001,-0.197204,-3.140890,-0.0337,-0.0006,0.0160,0.000001,0.169999,-0.001201,0.265000
0.255776,0.374336,0.004816,-0.072526,0.000738,-0.518392,-0.003133,0.000008,-0.193604,-3.140912,-0.0364,-0.0006,0.0160,-0.000008,0.166909,-0.001164,0.265000
0.266587,0.374336,0.004816,-0.072526,0.000738,-0.518392,-0.003133,0.000008,-0.193604,-3.140912,-0.0364,-0.0006,0.0160,-0.000008,0.166909,-0.001164,0.265000
0.277310,0.439425,0.004730,-0.075259,0.000733,-0.462140,-0.002325,0.000018,-0.189862,-3.140933,-0.0392,-0.0006,0.0161,-0.000017,0.163636,-0.001129,0.265000
0.287736,0.439425,0.004730,-0.075259,0.000733,-0.462140,-0.002325,0.000018,-0.189862,-3.140933,-0.0392,-0.0006,0.0161,-0.000017,0.163636,-0.001129,0.265000
0.299211,0.481011,0.004724,-0.066411,0.000566,-0.445498,-0.002237,0.000079,-0.165264,-3.141059,-0.0627,-0.0009,0.0165,-0.000068,0.142479,-0.000912,0.265000
0.309936,0.481011,0.004724,-0.066411,0.000566,-0.445498,-0.002237,0.000079,-0.165264,-3.141059,-0.0627,-0.0009,0.0165,-0.000068,0.142479,-0.000912,0.265000
0.320710,0.492341,0.004714,-0.065496,0.000537,-0.444509,-0.002259,0.000085,-0.162176,-3.141075,-0.0661,-0.0010,0.0166,-0.000074,0.139825,-0.000886,0.265000
