t,gate_idx,range_m,true_bx,true_by,true_bz,cv_bx,cv_by,cv_bz,err_x,err_y,err_z,err_total,true_vx,true_vy,true_vz,cv_vx,cv_vy,cv_vz,verr_x,verr_y,verr_z,verr_total,pnp_ok,reliable,gate_qw,gate_qx,gate_qy,gate_qz,odo_qw,odo_qx,odo_qy,odo_qz,cv_rx,cv_ry,cv_rz
8.138,0,23.301,22.166,0.377,-7.173,23.017,0.425,-8.155,0.850,0.048,-0.982,1.300,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,True,True,0.70711,0.00000,-0.00000,0.70711,0.00051,-0.15472,0.00005,-0.98796,2.19985,-0.05153,-0.07353
8.159,0,23.301,22.166,0.377,-7.173,23.152,0.442,-8.355,0.985,0.065,-1.182,1.540,-0.022,-0.001,-0.609,-0.000,-0.000,-0.000,0.022,0.001,0.609,0.609,True,True,0.70711,0.00000,-0.00000,0.70711,0.00051,-0.15472,0.00005,-0.98796,2.47125,-0.06860,-0.31509
8.180,0,23.296,22.918,0.545,-4.144,22.753,0.421,-8.233,-0.165,-0.124,-4.089,4.094,0.100,0.046,-0.970,-0.000,-0.000,-0.000,-0.100,-0.046,0.970,0.976,True,True,0.70711,0.00000,-0.00000,0.70711,0.00176,0.08888,-0.01520,0.99593,2.36899,-0.12145,-0.27353
8.201,0,23.284,22.624,0.603,-5.474,22.982,0.287,-6.188,0.358,-0.317,-0.714,0.859,0.097,0.061,-0.860,-0.000,-0.000,-0.000,-0.097,-0.061,0.860,0.867,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00183,-0.11892,0.02170,-0.99266,2.13635,-0.19853,-0.17835
8.262,0,23.279,22.473,0.566,-6.048,23.344,0.244,-6.387,0.872,-0.322,-0.340,0.989,0.204,0.026,-0.233,-0.000,-0.000,-0.000,-0.204,-0.026,0.233,0.311,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00108,-0.13176,0.01922,-0.99109,1.88397,-0.00536,0.01484
8.283,0,23.269,22.242,0.559,-6.814,23.665,0.201,-6.763,1.423,-0.358,0.051,1.469,0.259,0.020,-0.074,-0.000,-0.000,-0.000,-0.259,-0.020,0.074,0.270,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00062,-0.14900,0.01936,-0.98865,1.92610,-0.01226,0.08069
8.304,0,23.257,21.961,0.566,-7.632,23.072,0.193,-7.167,1.111,-0.373,0.465,1.261,0.345,0.024,-0.003,-0.000,-0.000,-0.000,-0.345,-0.024,0.003,0.345,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00048,-0.16731,0.01906,-0.98572,-1.92530,-0.07238,0.16332
8.345,0,23.254,21.916,0.567,-7.755,22.728,0.191,-7.629,0.812,-0.376,0.126,0.904,0.386,0.030,-0.026,,,,,,,,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00046,-0.17006,0.01895,-0.98525,1.90793,0.09289,0.13991
8.386,0,23.218,21.528,0.565,-8.677,22.450,0.184,-8.374,0.922,-0.382,0.303,1.043,0.606,0.066,-0.278,-0.000,-0.000,-0.000,-0.606,-0.066,0.278,0.670,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00038,-0.19114,0.01750,-0.98141,1.91639,0.06524,0.12139
8.407,0,23.218,21.528,0.565,-8.677,22.672,0.172,-8.936,1.144,-0.393,-0.259,1.237,0.606,0.066,-0.278,,,,,,,,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00038,-0.19114,0.01750,-0.98141,1.96287,0.02895,0.16145
8.448,0,23.166,21.328,0.547,-9.027,22.367,0.170,-9.385,1.039,-0.377,-0.358,1.162,0.827,0.099,-0.550,-0.000,-0.000,-0.000,-0.827,-0.099,0.550,0.998,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00035,-0.19970,0.01550,-0.97973,1.91807,0.06184,0.10017
8.490,0,23.159,21.307,0.548,-9.058,20.414,0.176,-9.161,-0.893,-0.372,-0.103,0.973,0.962,0.116,-0.686,-0.000,-0.000,-0.000,-0.962,-0.116,0.686,1.187,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00038,-0.20051,0.01543,-0.97957,-2.19319,0.26504,-0.42654
8.511,0,23.085,21.233,0.525,-9.046,21.312,0.200,-9.593,0.079,-0.326,-0.547,0.641,1.092,0.128,-0.782,-0.000,-0.000,-0.000,-1.092,-0.128,0.782,1.349,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00046,-0.20120,0.01333,-0.97946,2.01886,0.05771,0.07281
8.552,0,23.076,21.229,0.524,-9.031,22.319,0.191,-10.094,1.090,-0.333,-1.064,1.559,1.232,0.140,-0.864,-0.000,-0.000,-0.000,-1.232,-0.140,0.864,1.511,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00048,-0.20098,0.01314,-0.97951,2.04508,-0.04618,0.02454
8.573,0,23.076,21.229,0.524,-9.031,22.534,0.210,-10.260,1.306,-0.314,-1.230,1.821,1.232,0.140,-0.864,0.820,-1.570,3.970,-0.412,-1.710,4.834,5.144,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00048,-0.20098,0.01314,-0.97951,-1.76567,0.02882,0.17989
8.614,0,22.974,21.218,0.515,-8.794,22.434,0.212,-9.949,1.215,-0.303,-1.155,1.704,1.461,0.158,-0.979,-0.000,-0.000,-0.000,-1.461,-0.158,0.979,1.766,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00076,-0.19686,0.01206,-0.98036,1.82018,0.00245,-0.01225
8.635,0,22.886,21.205,0.506,-8.596,21.360,0.186,-10.275,0.156,-0.320,-1.679,1.716,1.569,0.165,-1.028,-0.000,-0.000,-0.000,-1.569,-0.165,1.028,1.883,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00093,-0.19341,0.01130,-0.98105,-1.85999,-0.03508,0.06986
8.697,0,22.873,21.206,0.503,-8.558,20.685,0.111,-9.797,-0.521,-0.392,-1.239,1.400,1.638,0.170,-1.060,,,,,,,,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00094,-0.19269,0.01113,-0.98120,-2.62789,0.00375,-0.07983
8.739,0,22.737,21.235,0.482,-8.112,19.827,0.034,-9.116,-1.409,-0.448,-1.003,1.787,1.917,0.187,-1.149,-0.000,-0.000,-0.000,-1.917,-0.187,1.149,2.243,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00104,-0.18406,0.00996,-0.98286,-2.67834,0.00350,-0.05546
8.759,0,22.679,21.221,0.479,-7.987,20.975,0.127,-9.363,-0.246,-0.352,-1.376,1.441,2.010,0.193,-1.181,-0.000,-0.000,-0.000,-2.010,-0.193,1.181,2.339,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00113,-0.18184,0.00982,-0.98328,3.16306,-0.00751,-0.36523
8.780,0,22.618,21.219,0.468,-7.818,21.486,0.169,-9.384,0.267,-0.299,-1.566,1.616,2.103,0.198,-1.201,-0.000,-0.000,-0.000,-2.103,-0.198,1.201,2.430,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00113,-0.17865,0.00923,-0.98387,-2.91739,0.04494,-0.21731
8.800,0,22.555,21.230,0.453,-7.603,21.602,0.178,-9.327,0.372,-0.275,-1.724,1.785,2.195,0.201,-1.212,-0.110,0.080,-4.640,-2.305,-0.121,-3.428,4.132,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00109,-0.17438,0.00843,-0.98464,-2.91754,0.02916,-0.15293
8.842,0,22.423,21.229,0.430,-7.205,21.246,0.183,-8.926,0.016,-0.247,-1.721,1.739,2.315,0.205,-1.211,-0.000,-0.000,-0.000,-2.315,-0.205,1.211,2.620,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00104,-0.16659,0.00737,-0.98600,2.86238,-0.00688,0.00205
8.884,0,22.405,21.227,0.427,-7.156,21.586,0.185,-8.854,0.360,-0.242,-1.698,1.752,2.441,0.211,-1.245,,,,,,,,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00104,-0.16566,0.00727,-0.98616,3.22066,-0.01411,-0.20023
8.904,0,22.405,21.227,0.427,-7.156,21.971,0.186,-8.791,0.745,-0.241,-1.635,1.813,2.441,0.211,-1.245,-4.330,-0.010,0.470,-6.771,-0.221,1.715,6.988,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00104,-0.16566,0.00727,-0.98616,3.01957,-0.02043,-0.18082
8.946,0,22.142,21.160,0.396,-6.509,21.849,0.188,-8.423,0.689,-0.207,-1.915,2.045,2.634,0.218,-1.236,-0.000,-0.000,-0.000,-2.634,-0.218,1.236,2.917,True,True,0.70711,0.00000,-0.00000,0.70711,0.00102,0.15328,-0.00630,0.98816,3.13670,-0.01827,-0.43719
8.987,0,22.122,21.152,0.393,-6.467,21.520,0.213,-7.938,0.368,-0.181,-1.471,1.527,2.739,0.223,-1.260,-0.000,-0.000,-0.000,-2.739,-0.223,1.260,3.023,True,True,0.70711,0.00000,-0.00000,0.70711,0.00101,0.15251,-0.00623,0.98828,-2.72280,-0.10201,-0.53270
9.008,0,21.998,21.106,0.378,-6.190,20.471,0.241,-7.447,-0.635,-0.138,-1.257,1.415,2.821,0.225,-1.247,-0.000,-0.000,-0.000,-2.821,-0.225,1.247,3.093,True,True,0.70711,0.00000,-0.00000,0.70711,0.00097,0.14722,-0.00577,0.98909,2.71096,0.00086,-0.08646
9.090,0,21.814,21.026,0.351,-5.800,22.001,0.144,-6.633,0.975,-0.207,-0.833,1.299,3.014,0.230,-1.242,-0.000,-0.000,-0.000,-3.014,-0.230,1.242,3.268,True,True,0.70711,0.00000,-0.00000,0.70711,0.00084,0.13978,-0.00464,0.99017,1.90363,0.07327,0.25659
9.110,0,21.814,21.026,0.351,-5.800,21.958,0.134,-6.622,0.932,-0.217,-0.822,1.262,3.014,0.230,-1.242,-0.000,-0.000,-0.000,-3.014,-0.230,1.242,3.268,True,True,0.70711,0.00000,-0.00000,0.70711,0.00084,0.13978,-0.00464,0.99017,1.97281,0.05209,0.24561
9.152,0,21.592,20.906,0.326,-5.390,19.868,0.008,-6.281,-1.038,-0.318,-0.891,1.404,3.145,0.232,-1.220,-0.000,-0.000,-0.000,-3.145,-0.232,1.220,3.382,True,True,0.70711,0.00000,-0.00000,0.70711,0.00074,0.13204,-0.00394,0.99124,2.54654,-0.15951,0.96636
9.172,0,21.409,20.792,0.305,-5.094,19.567,0.024,-6.210,-1.225,-0.281,-1.116,1.681,3.226,0.233,-1.200,-0.000,-0.000,-0.000,-3.226,-0.233,1.200,3.450,True,True,0.70711,0.00000,-0.00000,0.70711,0.00065,0.12657,-0.00328,0.99195,-2.85214,0.18290,0.97815
9.214,0,21.385,20.777,0.302,-5.056,19.908,0.068,-6.184,-0.868,-0.234,-1.128,1.443,3.309,0.235,-1.206,,,,,,,,True,True,0.70711,0.00000,-0.00000,0.70711,0.00063,0.12585,-0.00315,0.99204,3.29918,-0.07409,-0.25657
9.256,0,21.235,20.678,0.285,-4.820,19.471,0.126,-5.875,-1.207,-0.159,-1.055,1.611,3.368,0.235,-1.184,-0.000,-0.000,-0.000,-3.368,-0.235,1.184,3.577,True,True,0.70711,0.00000,-0.00000,0.70711,0.00054,0.12142,-0.00259,0.99260,2.54664,-0.10913,-0.29326
9.277,0,21.143,20.614,0.276,-4.689,19.486,0.118,-5.700,-1.129,-0.157,-1.011,1.524,3.418,0.236,-1.175,-0.000,-0.000,-0.000,-3.418,-0.236,1.175,3.622,True,True,0.70711,0.00000,-0.00000,0.70711,0.00050,0.11899,-0.00233,0.99289,2.56710,-0.11310,-0.28443
9.319,0,21.025,20.529,0.264,-4.534,20.092,0.134,-5.711,-0.437,-0.130,-1.176,1.262,3.505,0.236,-1.167,-0.000,-0.000,-0.000,-3.505,-0.236,1.167,3.701,True,True,0.70711,0.00000,-0.00000,0.70711,0.00045,0.11618,-0.00201,0.99323,2.87947,-0.08033,-0.28772
9.360,0,20.871,20.415,0.246,-4.335,19.506,0.086,-5.550,-0.908,-0.160,-1.215,1.525,3.579,0.235,-1.149,,,,,,,,True,True,0.70711,0.00000,-0.00000,0.70711,0.00034,0.11251,-0.00125,0.99365,2.38860,0.08557,0.13609
9.401,0,20.713,20.294,0.232,-4.142,19.618,0.078,-5.358,-0.676,-0.154,-1.216,1.400,3.631,0.235,-1.129,-0.000,-0.000,-0.000,-3.631,-0.235,1.129,3.809,True,True,0.70711,0.00000,-0.00000,0.70711,0.00028,0.10897,-0.00089,0.99404,2.72993,-0.02771,0.07889
9.422,0,20.599,20.203,0.221,-4.010,20.020,0.088,-5.298,-0.183,-0.132,-1.288,1.307,3.675,0.234,-1.116,-0.000,-0.000,-0.000,-3.675,-0.234,1.116,3.848,True,True,0.70711,0.00000,-0.00000,0.70711,0.00022,0.10657,-0.00042,0.99431,2.70235,-0.02352,0.03327
9.443,0,20.599,20.203,0.221,-4.010,19.943,0.093,-5.195,-0.260,-0.128,-1.184,1.219,3.675,0.234,-1.116,12.590,-0.160,-6.750,8.915,-0.394,-5.634,10.554,True,True,0.70711,0.00000,-0.00000,0.70711,0.00022,0.10657,-0.00042,0.99431,3.35881,-0.03762,-0.27928
9.484,0,20.292,19.954,0.191,-3.688,19.817,0.068,-5.002,-0.137,-0.124,-1.314,1.327,3.766,0.230,-1.079,-0.000,-0.000,-0.000,-3.766,-0.230,1.079,3.924,True,True,0.70711,0.00000,-0.00000,0.70711,0.00005,0.10073,0.00078,0.99491,3.15054,-0.08747,-0.43713
9.525,0,20.265,19.930,0.190,-3.664,20.023,0.119,-4.918,0.093,-0.070,-1.254,1.259,3.819,0.229,-1.077,-0.000,-0.000,-0.000,-3.819,-0.229,1.077,3.974,True,True,0.70711,0.00000,-0.00000,0.70711,0.00004,0.10033,0.00080,0.99495,2.79951,-0.01139,0.05086
9.546,0,20.098,19.788,0.177,-3.509,19.827,0.104,-4.784,0.038,-0.073,-1.275,1.278,3.855,0.228,-1.057,-0.000,-0.000,-0.000,-3.855,-0.228,1.057,4.004,True,True,0.70711,0.00000,-0.00000,0.70711,0.00000,0.09757,0.00105,0.99523,3.30971,-0.05317,-0.23448
9.566,0,19.996,19.701,0.170,-3.417,19.732,0.079,-4.713,0.031,-0.091,-1.296,1.300,3.887,0.227,-1.047,3.830,1.660,-3.060,-0.057,1.433,-2.013,2.472,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00003,0.09593,0.00122,0.99539,2.66556,-0.02718,-0.08953
9.629,0,19.866,19.588,0.159,-3.303,19.957,0.122,-4.597,0.368,-0.038,-1.294,1.346,3.940,0.224,-1.032,-0.000,-0.000,-0.000,-3.940,-0.224,1.032,4.079,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00008,0.09390,0.00168,0.99558,2.78796,0.01533,-0.11170
9.649,0,19.702,19.445,0.146,-3.172,20.040,0.151,-4.568,0.596,0.005,-1.396,1.517,3.972,0.221,-1.015,-0.000,-0.000,-0.000,-3.972,-0.221,1.015,4.106,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00015,0.09160,0.00229,0.99579,2.80648,-0.02421,-0.44912
9.670,0,19.595,19.349,0.139,-3.091,19.803,0.137,-4.449,0.454,-0.002,-1.358,1.432,4.000,0.220,-1.005,-0.000,-0.000,-0.000,-4.000,-0.220,1.005,4.130,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00017,0.09020,0.00241,0.99592,2.78974,0.04014,-0.44714
9.732,0,19.463,19.231,0.130,-2.993,19.518,0.126,-4.255,0.287,-0.004,-1.262,1.294,4.046,0.217,-0.991,-0.000,-0.000,-0.000,-4.046,-0.217,0.991,4.171,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00020,0.08849,0.00266,0.99607,2.79407,-0.01092,-0.17620
9.753,0,19.291,19.075,0.118,-2.874,19.659,0.119,-4.233,0.584,0.001,-1.358,1.479,4.074,0.214,-0.974,-0.000,-0.000,-0.000,-4.074,-0.214,0.974,4.195,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00026,0.08647,0.00322,0.99625,2.92258,0.02266,-0.20016
9.773,0,19.071,18.872,0.105,-2.746,19.336,0.121,-4.101,0.464,0.016,-1.356,1.433,4.105,0.211,-0.957,-0.000,-0.000,-0.000,-4.105,-0.211,0.957,4.220,True,True,0.70711,0.00000,-0.00000,0.70711,0.00030,-0.08441,-0.00348,-0.99642,2.72180,0.01858,-0.02453
9.814,0,19.042,18.846,0.103,-2.727,19.241,0.128,-4.024,0.396,0.025,-1.297,1.356,4.137,0.208,-0.953,1.670,-0.500,-3.590,-2.467,-0.708,-2.637,3.680,True,True,0.70711,0.00000,-0.00000,0.70711,0.00031,-0.08410,-0.00356,-0.99645,2.71773,0.02084,-0.17469
9.856,0,18.868,18.685,0.093,-2.618,19.004,0.136,-3.904,0.318,0.043,-1.286,1.325,4.161,0.205,-0.937,-0.000,-0.000,-0.000,-4.161,-0.205,0.937,4.270,True,True,0.70711,0.00000,-0.00000,0.70711,0.00033,-0.08224,-0.00381,-0.99661,2.72385,0.00539,-0.21896
9.877,0,18.757,18.582,0.088,-2.555,18.931,0.132,-3.828,0.349,0.045,-1.273,1.321,4.181,0.203,-0.929,-0.000,-0.000,-0.000,-4.181,-0.203,0.929,4.288,True,True,0.70711,0.00000,-0.00000,0.70711,0.00034,-0.08120,-0.00382,-0.99669,2.81493,0.00615,-0.14403
9.918,0,18.650,18.483,0.082,-2.494,18.753,0.105,-3.717,0.270,0.023,-1.223,1.253,4.187,0.203,-0.920,-0.000,-0.000,-0.000,-4.187,-0.203,0.920,4.292,True,True,0.70711,0.00000,-0.00000,0.70711,0.00035,-0.08019,-0.00398,-0.99677,2.75988,0.01412,-0.35485
9.938,0,18.443,18.288,0.070,-2.385,18.707,0.097,-3.687,0.419,0.028,-1.303,1.369,4.223,0.198,-0.903,0.430,0.090,-0.390,-3.793,-0.108,0.513,3.829,True,True,0.70711,0.00000,-0.00000,0.70711,0.00040,-0.07841,-0.00455,-0.99691,2.84018,0.01911,-0.36958
9.980,0,18.222,18.078,0.059,-2.285,18.510,0.097,-3.570,0.432,0.038,-1.285,1.356,4.257,0.192,-0.887,-0.000,-0.000,-0.000,-4.257,-0.192,0.887,4.353,True,True,0.70711,0.00000,-0.00000,0.70711,0.00042,-0.07694,-0.00478,-0.99702,2.74013,-0.00283,-0.31325
10.021,0,18.192,18.049,0.057,-2.271,18.251,0.089,-3.467,0.201,0.032,-1.195,1.213,4.282,0.188,-0.883,-0.000,-0.000,-0.000,-4.282,-0.188,0.883,4.376,True,True,0.70711,0.00000,-0.00000,0.70711,0.00043,-0.07672,-0.00483,-0.99704,2.70633,0.00591,-0.17014
10.041,0,18.192,18.049,0.057,-2.271,18.167,0.087,-3.435,0.118,0.030,-1.163,1.170,4.282,0.188,-0.883,1.910,0.010,-0.640,-2.372,-0.178,0.243,2.391,True,True,0.70711,0.00000,-0.00000,0.70711,0.00043,-0.07672,-0.00483,-0.99704,2.75193,0.00335,-0.17354
10.083,0,17.779,17.656,0.040,-2.084,18.143,0.072,-3.373,0.487,0.032,-1.289,1.378,4.319,0.182,-0.856,-0.000,-0.000,-0.000,-4.319,-0.182,0.856,4.407,True,True,0.70711,0.00000,-0.00000,0.70711,0.00044,-0.07379,-0.00493,-0.99726,2.72430,0.01704,-0.28576
10.124,0,17.748,17.627,0.038,-2.072,17.873,0.075,-3.273,0.247,0.037,-1.201,1.227,4.339,0.178,-0.852,-0.000,-0.000,-0.000,-4.339,-0.178,0.852,4.425,True,True,0.70711,0.00000,-0.00000,0.70711,0.00044,-0.07361,-0.00496,-0.99727,2.74966,0.01198,-0.09199
10.145,0,17.568,17.454,0.030,-1.998,17.772,0.071,-3.215,0.319,0.041,-1.217,1.259,4.354,0.175,-0.841,-0.000,-0.000,-0.000,-4.354,-0.175,0.841,4.438,True,True,0.70711,0.00000,-0.00000,0.70711,0.00045,-0.07250,-0.00520,-0.99735,2.93210,0.02495,-0.23213
10.165,0,17.568,17.454,0.030,-1.998,17.739,0.071,-3.188,0.285,0.041,-1.190,1.225,4.354,0.175,-0.841,0.810,-0.090,-1.050,-3.544,-0.265,-0.209,3.560,True,True,0.70711,0.00000,-0.00000,0.70711,0.00045,-0.07250,-0.00520,-0.99735,2.82455,0.01339,-0.25869
10.228,0,17.311,17.207,0.020,-1.898,17.627,0.059,-3.124,0.420,0.039,-1.227,1.297,4.388,0.167,-0.823,-0.000,-0.000,-0.000,-4.388,-0.167,0.823,4.467,True,True,0.70711,0.00000,-0.00000,0.70711,0.00046,-0.07100,-0.00541,-0.99746,3.02171,0.01244,-0.31440
10.248,0,17.126,17.028,0.011,-1.831,17.349,0.032,-3.038,0.321,0.020,-1.207,1.249,4.400,0.163,-0.812,-0.000,-0.000,-0.000,-4.400,-0.163,0.812,4.478,True,True,0.70711,0.00000,-0.00000,0.70711,0.00050,-0.07004,-0.00592,-0.99753,2.74818,-0.01178,-0.30557
10.269,0,17.010,16.915,0.007,-1.791,17.207,0.045,-2.998,0.291,0.038,-1.207,1.242,4.411,0.160,-0.806,6.010,-1.430,-1.530,1.599,-1.590,-0.724,2.369,True,True,0.70711,0.00000,-0.00000,0.70711,0.00050,-0.06949,-0.00596,-0.99756,2.72491,-0.00238,-0.30435
10.333,0,16.866,16.776,0.002,-1.742,15.550,-0.078,-2.752,-1.226,-0.080,-1.011,1.591,4.429,0.155,-0.797,-0.000,-0.000,-0.000,-4.429,-0.155,0.797,4.503,True,True,0.70711,0.00000,-0.00000,0.70711,0.00050,-0.06880,-0.00598,-0.99761,2.25217,0.08965,0.08896
10.354,0,16.681,16.596,-0.005,-1.682,15.897,-0.044,-2.736,-0.699,-0.039,-1.054,1.265,4.440,0.151,-0.787,-0.000,-0.000,-0.000,-4.440,-0.151,0.787,4.512,True,True,0.70711,0.00000,-0.00000,0.70711,0.00051,-0.06800,-0.00629,-0.99767,2.54041,0.01556,0.15289
10.374,0,16.446,16.366,-0.013,-1.614,16.065,-0.036,-2.724,-0.301,-0.023,-1.111,1.151,4.452,0.147,-0.777,-0.000,-0.000,-0.000,-4.452,-0.147,0.777,4.522,True,True,0.70711,0.00000,-0.00000,0.70711,0.00051,-0.06717,-0.00637,-0.99772,2.59611,-0.01155,-0.01520
10.416,0,16.414,16.336,-0.014,-1.604,15.426,-0.035,-2.557,-0.909,-0.021,-0.953,1.318,4.455,0.146,-0.776,,,,,,,,True,True,0.70711,0.00000,-0.00000,0.70711,0.00051,-0.06705,-0.00639,-0.99773,-2.44375,0.08085,-0.30090
10.458,0,16.218,16.144,-0.020,-1.546,14.583,-0.053,-2.338,-1.561,-0.033,-0.792,1.751,4.475,0.138,-0.764,-0.000,-0.000,-0.000,-4.475,-0.138,0.764,4.542,True,True,0.70711,0.00000,-0.00000,0.70711,0.00051,-0.06628,-0.00645,-0.99778,-2.45015,0.07435,-0.28432
10.479,0,15.981,15.912,-0.027,-1.483,15.080,-0.021,-2.317,-0.832,0.006,-0.834,1.179,4.485,0.134,-0.756,-0.000,-0.000,-0.000,-4.485,-0.134,0.756,4.551,True,True,0.70711,0.00000,-0.00000,0.70711,0.00051,-0.06555,-0.00645,-0.99783,-2.61171,0.18554,-0.31717
10.520,0,15.950,15.881,-0.028,-1.474,14.859,-0.023,-2.289,-1.023,0.005,-0.815,1.308,4.497,0.129,-0.752,,,,,,,,True,True,0.70711,0.00000,-0.00000,0.70711,0.00050,-0.06544,-0.00645,-0.99784,2.19991,-0.20926,-0.36920
10.561,0,15.753,15.689,-0.033,-1.421,14.678,-0.028,-2.270,-1.011,0.005,-0.849,1.320,4.505,0.126,-0.744,-0.000,-0.000,-0.000,-4.505,-0.126,0.744,4.568,True,True,0.70711,0.00000,-0.00000,0.70711,0.00050,-0.06478,-0.00648,-0.99788,2.20551,-0.21056,-0.36150
10.582,0,15.629,15.567,-0.036,-1.389,14.926,-0.042,-2.405,-0.641,-0.006,-1.016,1.201,4.512,0.123,-0.739,-0.000,-0.000,-0.000,-4.512,-0.123,0.739,4.574,True,True,0.70711,0.00000,-0.00000,0.70711,0.00049,-0.06442,-0.00638,-0.99790,2.77207,-0.08453,-0.40317
10.603,0,15.390,15.332,-0.042,-1.329,14.892,-0.087,-2.425,-0.440,-0.045,-1.096,1.182,4.521,0.119,-0.730,6.720,3.100,-0.820,2.199,2.981,-0.090,3.706,True,True,0.70711,0.00000,-0.00000,0.70711,0.00049,-0.06372,-0.00645,-0.99795,3.44758,0.02294,-0.15015
10.665,0,15.358,15.301,-0.043,-1.321,15.085,-0.089,-2.437,-0.216,-0.046,-1.116,1.138,4.530,0.113,-0.726,-0.000,-0.000,-0.000,-4.530,-0.113,0.726,4.589,True,True,0.70711,0.00000,-0.00000,0.70711,0.00049,-0.06363,-0.00646,-0.99795,2.65557,-0.01174,0.30900
10.686,0,15.163,15.109,-0.048,-1.275,15.122,-0.059,-2.427,0.013,-0.011,-1.151,1.152,4.536,0.110,-0.720,-0.000,-0.000,-0.000,-4.536,-0.110,0.720,4.595,True,True,0.70711,0.00000,-0.00000,0.70711,0.00049,-0.06314,-0.00650,-0.99798,2.73452,-0.05060,-0.23696
10.707,0,15.163,15.109,-0.048,-1.275,14.914,-0.067,-2.359,-0.195,-0.019,-1.084,1.102,4.536,0.110,-0.720,,,,,,,,True,True,0.70711,0.00000,-0.00000,0.70711,0.00049,-0.06314,-0.00650,-0.99798,2.94551,-0.02824,-0.66818
10.749,0,14.782,14.734,-0.056,-1.191,14.417,-0.080,-2.306,-0.317,-0.024,-1.116,1.160,4.550,0.102,-0.708,-0.000,-0.000,-0.000,-4.550,-0.102,0.708,4.605,True,True,0.70711,0.00000,-0.00000,0.70711,0.00047,-0.06229,-0.00644,-0.99804,2.81378,-0.07907,-0.23550
10.791,0,14.782,14.734,-0.056,-1.191,14.257,-0.063,-2.264,-0.477,-0.007,-1.073,1.175,4.550,0.102,-0.708,-0.000,-0.000,-0.000,-4.550,-0.102,0.708,4.605,True,True,0.70711,0.00000,-0.00000,0.70711,0.00047,-0.06229,-0.00644,-0.99804,2.67546,-0.05937,-0.53761
10.833,0,14.534,14.489,-0.061,-1.138,14.178,-0.066,-2.255,-0.312,-0.004,-1.117,1.160,4.564,0.092,-0.697,-0.000,-0.000,-0.000,-4.564,-0.092,0.697,4.618,True,True,0.70711,0.00000,-0.00000,0.70711,0.00047,-0.06180,-0.00648,-0.99807,2.72222,-0.06723,-0.49951
10.853,0,14.534,14.489,-0.061,-1.138,14.145,-0.059,-2.245,-0.344,0.002,-1.106,1.159,4.564,0.092,-0.697,1.130,-0.510,-0.640,-3.434,-0.602,0.057,3.487,True,True,0.70711,0.00000,-0.00000,0.70711,0.00047,-0.06180,-0.00648,-0.99807,2.64812,-0.05787,-0.42869
10.895,0,14.226,14.185,-0.067,-1.078,13.881,-0.059,-2.141,-0.304,0.008,-1.063,1.106,4.576,0.084,-0.688,-0.000,-0.000,-0.000,-4.576,-0.084,0.688,4.628,True,True,0.70711,0.00000,-0.00000,0.70711,0.00046,-0.06131,-0.00652,-0.99810,2.68624,-0.03139,-0.54748
10.937,0,14.060,14.021,-0.070,-1.044,13.354,-0.047,-2.042,-0.668,0.023,-0.998,1.201,4.581,0.079,-0.683,-0.000,-0.000,-0.000,-4.581,-0.079,0.683,4.633,True,True,0.70711,0.00000,-0.00000,0.70711,0.00045,-0.06099,-0.00645,-0.99812,2.55291,-0.05687,-0.57589
10.978,0,13.885,13.848,-0.073,-1.010,12.868,0.021,-2.101,-0.980,0.094,-1.091,1.470,4.587,0.075,-0.678,-0.000,-0.000,-0.000,-4.587,-0.075,0.678,4.637,True,True,0.70711,0.00000,-0.00000,0.70711,0.00044,-0.06070,-0.00639,-0.99814,2.57258,0.02420,-0.84986
